"","Location","Year","Month","average_WindGustSpeed","average_monthly_rainfall"
"1","Adelaide",2008,"August",39.6318892236318,3.392
"2","Adelaide",2008,"December",36.6129032258064,1.30322580645161
"3","Adelaide",2008,"July",39.4516129032258,2.888
"4","Adelaide",2008,"November",43.0172228097916,0.475862068965517
"5","Adelaide",2008,"October",36.5566986508728,0.285714285714286
"6","Adelaide",2008,"September",40.7,0.571428571428572
"7","Adelaide",2009,"April",35.1333333333333,2.45333333333333
"8","Adelaide",2009,"August",44.1802590142094,1.86
"9","Adelaide",2009,"December",38.4838709677419,0.587096774193548
"10","Adelaide",2009,"February",40.0449351090605,0.0285714285714286
"11","Adelaide",2009,"January",39.6451612903226,0.0387096774193548
"12","Adelaide",2009,"July",38.1612903225806,3.51612903225806
"13","Adelaide",2009,"June",34.3333333333333,1.73333333333333
"14","Adelaide",2009,"March",36.7234519077465,0.690322580645161
"15","Adelaide",2009,"May",28.4516129032258,2.03225806451613
"16","Adelaide",2009,"November",41.4,1.40666666666667
"17","Adelaide",2009,"October",39.3225806451613,0.593548387096774
"18","Adelaide",2009,"September",42.6,2.2
"19","Adelaide",2010,"April",35.2490916736424,1.65333333333333
"20","Adelaide",2010,"August",44.8343203978974,3.97241379310345
"21","Adelaide",2010,"December",41.6774193548387,2.80645161290323
"22","Adelaide",2010,"February",38.3214285714286,0.2
"23","Adelaide",2010,"January",37.258064516129,0.296774193548387
"24","Adelaide",2010,"July",32,2.06206896551724
"25","Adelaide",2010,"June",32.0666666666667,2.26896551724138
"26","Adelaide",2010,"March",36.1595548362201,0.612903225806452
"27","Adelaide",2010,"May",31.3225806451613,1.89333333333333
"28","Adelaide",2010,"November",34.8333333333333,0.773333333333333
"29","Adelaide",2010,"October",38.6129032258064,0.941935483870968
"30","Adelaide",2010,"September",38.5666666666667,2.40666666666667
"31","Adelaide",2011,"August",34.7282188490874,3.55384615384615
"32","Adelaide",2011,"December",39.5806451612903,0.587096774193548
"33","Adelaide",2011,"February",35.8928571428571,1.6
"34","Adelaide",2011,"January",34.9032258064516,0.561290322580645
"35","Adelaide",2011,"July",34.9354838709677,2.11724137931034
"36","Adelaide",2011,"June",36.0333333333333,1.28275862068966
"37","Adelaide",2011,"March",36.9347471588802,2.63870967741935
"38","Adelaide",2011,"May",32.1612903225806,1.99354838709677
"39","Adelaide",2011,"November",39.8,0.84
"40","Adelaide",2011,"October",38.0322580645161,1.3741935483871
"41","Adelaide",2011,"September",41.2666666666667,1.56
"42","Adelaide",2012,"April",31.9333333333333,0.93103448275862
"43","Adelaide",2012,"August",42.0967741935484,2.26666666666667
"44","Adelaide",2012,"February",38.1490488219685,0.862068965517241
"45","Adelaide",2012,"January",44.7741935483871,0.620689655172414
"46","Adelaide",2012,"July",32.8064516129032,2.13548387096774
"47","Adelaide",2012,"June",36.0659133353581,4.51428571428572
"48","Adelaide",2012,"March",38.3548387096774,2.07096774193548
"49","Adelaide",2012,"May",32.7096774193548,2.71304347826087
"50","Adelaide",2012,"November",40.5,0.58
"51","Adelaide",2012,"October",38.5806451612903,0.666666666666667
"52","Adelaide",2012,"September",41.5666666666667,0.726666666666667
"53","Adelaide",2013,"April",33.6333333333333,1.22962962962963
"54","Adelaide",2013,"August",42.1290322580645,2.91034482758621
"55","Adelaide",2013,"December",41.1290322580645,0.6
"56","Adelaide",2013,"January",39.1935483870968,0.414285714285714
"57","Adelaide",2013,"July",39.4516129032258,3.84516129032258
"58","Adelaide",2013,"June",31.7,2.72857142857143
"59","Adelaide",2013,"March",38.4838709677419,0.7
"60","Adelaide",2013,"May",33,2.02962962962963
"61","Adelaide",2013,"November",39.5333333333333,0.179310344827586
"62","Adelaide",2013,"October",45.0645161290323,1.2
"63","Adelaide",2013,"September",45.3666666666667,1.57777777777778
"64","Adelaide",2014,"April",33.4333333333333,1.68666666666667
"65","Adelaide",2014,"August",32.9032258064516,0.670967741935483
"66","Adelaide",2014,"December",38.2903225806452,0.228571428571429
